;o;d;t;n
100;1.0;224.0;1.0;5.0
101;1.0;225.0;1.0;5.0
102;1.0;228.0;1.0;5.0
103;1.0;229.0;1.0;5.0
104;1.0;231.0;1.0;5.0
105;1.0;232.0;1.0;5.0
106;1.0;234.0;1.0;5.0
107;1.0;236.0;1.0;5.0
108;1.0;240.0;1.0;5.0
109;1.0;246.0;1.0;5.0
110;1.0;250.0;1.0;6.0
111;1.0;251.0;1.0;6.0
112;1.0;252.0;1.0;6.0
113;1.0;253.0;1.0;6.0
114;1.0;254.0;1.0;6.0
115;1.0;255.0;1.0;6.0
116;1.0;264.0;1.0;6.0
117;1.0;266.0;1.0;6.0
118;1.0;267.0;1.0;6.0
119;1.0;268.0;1.0;6.0
120;1.0;270.0;1.0;6.0
121;1.0;271.0;1.0;6.0
122;1.0;277.0;1.0;6.0
123;1.0;278.0;1.0;6.0
124;1.0;281.0;1.0;6.0
125;1.0;283.0;1.0;6.0
126;1.0;284.0;1.0;6.0
127;1.0;286.0;1.0;6.0
128;2.0;10.0;0.0;0.0
129;3.0;9.0;0.0;0.0
130;3.0;11.0;0.0;0.0
131;3.0;14.0;0.0;0.0
132;3.0;17.0;0.0;0.0
133;3.0;18.0;0.0;0.0
134;3.0;20.0;0.0;0.0
135;3.0;24.0;0.0;0.0
136;3.0;25.0;0.0;0.0
137;3.0;27.0;0.0;0.0
138;3.0;29.0;0.0;0.0
139;3.0;31.0;0.0;0.0
140;3.0;33.0;0.0;0.0
141;3.0;37.0;0.0;0.0
142;3.0;39.0;0.0;0.0
143;3.0;40.0;0.0;0.0
144;3.0;45.0;1.0;1.0
145;3.0;46.0;1.0;1.0
146;3.0;47.0;1.0;1.0
147;3.0;48.0;1.0;1.0
148;3.0;49.0;1.0;1.0
149;3.0;50.0;1.0;1.0
150;3.0;58.0;1.0;1.0
151;3.0;59.0;1.0;1.0
152;3.0;60.0;1.0;1.0
153;3.0;61.0;1.0;1.0
154;3.0;62.0;1.0;1.0
155;3.0;63.0;1.0;1.0
156;3.0;65.0;1.0;1.0
157;3.0;71.0;1.0;1.0
158;3.0;74.0;1.0;1.0
159;3.0;76.0;1.0;1.0
160;3.0;78.0;1.0;1.0
161;3.0;85.0;1.0;2.0
162;3.0;87.0;1.0;2.0
163;3.0;88.0;1.0;2.0
164;3.0;89.0;1.0;2.0
165;3.0;90.0;1.0;2.0
166;3.0;92.0;1.0;2.0
167;3.0;93.0;1.0;2.0
168;3.0;97.0;1.0;2.0
169;3.0;99.0;1.0;2.0
170;3.0;101.0;1.0;2.0
171;3.0;103.0;1.0;2.0
172;3.0;105.0;1.0;2.0
173;3.0;106.0;1.0;2.0
174;3.0;109.0;1.0;2.0
175;3.0;116.0;1.0;2.0
176;3.0;117.0;1.0;2.0
177;3.0;118.0;1.0;2.0
178;3.0;119.0;1.0;2.0
179;3.0;129.0;1.0;3.0
180;3.0;130.0;1.0;3.0
181;3.0;131.0;1.0;3.0
182;3.0;132.0;1.0;3.0
183;3.0;133.0;1.0;3.0
184;3.0;135.0;1.0;3.0
185;3.0;140.0;1.0;3.0
186;3.0;141.0;1.0;3.0
187;3.0;143.0;1.0;3.0
188;3.0;147.0;1.0;3.0
189;3.0;149.0;1.0;3.0
190;3.0;151.0;1.0;3.0
191;3.0;153.0;1.0;3.0
192;3.0;155.0;1.0;3.0
193;3.0;158.0;1.0;3.0
194;3.0;161.0;1.0;3.0
195;3.0;163.0;1.0;3.0
196;3.0;164.0;1.0;3.0
197;3.0;165.0;1.0;3.0
198;3.0;171.0;1.0;4.0
199;3.0;172.0;1.0;4.0
200;3.0;173.0;1.0;4.0
201;3.0;174.0;1.0;4.0
202;3.0;175.0;1.0;4.0
203;3.0;176.0;1.0;4.0
204;3.0;183.0;1.0;4.0
205;3.0;184.0;1.0;4.0
206;3.0;186.0;1.0;4.0
207;3.0;187.0;1.0;4.0
208;3.0;189.0;1.0;4.0
209;3.0;190.0;1.0;4.0
210;3.0;192.0;1.0;4.0
211;3.0;194.0;1.0;4.0
212;3.0;197.0;1.0;4.0
213;3.0;202.0;1.0;4.0
214;3.0;203.0;1.0;4.0
215;3.0;204.0;1.0;4.0
216;3.0;205.0;1.0;4.0
217;3.0;206.0;1.0;4.0
218;3.0;211.0;1.0;5.0
219;3.0;212.0;1.0;5.0
220;3.0;214.0;1.0;5.0
221;3.0;215.0;1.0;5.0
222;3.0;216.0;1.0;5.0
223;3.0;217.0;1.0;5.0
224;3.0;219.0;1.0;5.0
225;3.0;224.0;1.0;5.0
226;3.0;225.0;1.0;5.0
227;3.0;228.0;1.0;5.0
228;3.0;229.0;1.0;5.0
229;3.0;231.0;1.0;5.0
230;3.0;232.0;1.0;5.0
231;3.0;234.0;1.0;5.0
232;3.0;236.0;1.0;5.0
233;3.0;240.0;1.0;5.0
234;3.0;246.0;1.0;5.0
235;3.0;250.0;1.0;6.0
236;3.0;251.0;1.0;6.0
237;3.0;252.0;1.0;6.0
238;3.0;253.0;1.0;6.0
239;3.0;254.0;1.0;6.0
240;3.0;255.0;1.0;6.0
241;3.0;264.0;1.0;6.0
242;3.0;266.0;1.0;6.0
243;3.0;267.0;1.0;6.0
244;3.0;268.0;1.0;6.0
245;3.0;270.0;1.0;6.0
246;3.0;271.0;1.0;6.0
247;3.0;277.0;1.0;6.0
248;3.0;278.0;1.0;6.0
249;3.0;281.0;1.0;6.0
250;3.0;283.0;1.0;6.0
251;3.0;284.0;1.0;6.0
252;3.0;286.0;1.0;6.0
253;4.0;11.0;0.0;0.0
254;4.0;14.0;0.0;0.0
255;4.0;17.0;0.0;0.0
256;4.0;18.0;0.0;0.0
257;4.0;20.0;0.0;0.0
258;4.0;24.0;0.0;0.0
259;4.0;25.0;0.0;0.0
260;4.0;27.0;0.0;0.0
261;4.0;29.0;0.0;0.0
262;4.0;31.0;0.0;0.0
263;4.0;33.0;0.0;0.0
264;4.0;37.0;0.0;0.0
265;4.0;39.0;0.0;0.0
266;4.0;40.0;0.0;0.0
267;4.0;45.0;1.0;1.0
268;4.0;46.0;1.0;1.0
269;4.0;47.0;1.0;1.0
270;4.0;48.0;1.0;1.0
271;4.0;49.0;1.0;1.0
272;4.0;50.0;1.0;1.0
273;4.0;58.0;1.0;1.0
274;4.0;59.0;1.0;1.0
275;4.0;60.0;1.0;1.0
276;4.0;61.0;1.0;1.0
277;4.0;62.0;1.0;1.0
278;4.0;63.0;1.0;1.0
279;4.0;65.0;1.0;1.0
280;4.0;71.0;1.0;1.0
281;4.0;74.0;1.0;1.0
282;4.0;76.0;1.0;1.0
283;4.0;78.0;1.0;1.0
284;4.0;85.0;1.0;2.0
285;4.0;87.0;1.0;2.0
286;4.0;88.0;1.0;2.0
287;4.0;89.0;1.0;2.0
288;4.0;90.0;1.0;2.0
289;4.0;92.0;1.0;2.0
290;4.0;93.0;1.0;2.0
291;4.0;97.0;1.0;2.0
292;4.0;99.0;1.0;2.0
293;4.0;101.0;1.0;2.0
294;4.0;103.0;1.0;2.0
295;4.0;105.0;1.0;2.0
296;4.0;106.0;1.0;2.0
297;4.0;109.0;1.0;2.0
298;4.0;116.0;1.0;2.0
299;4.0;117.0;1.0;2.0
300;4.0;118.0;1.0;2.0
301;4.0;119.0;1.0;2.0
302;4.0;129.0;1.0;3.0
303;4.0;130.0;1.0;3.0
304;4.0;131.0;1.0;3.0
305;4.0;132.0;1.0;3.0
306;4.0;133.0;1.0;3.0
307;4.0;135.0;1.0;3.0
308;4.0;140.0;1.0;3.0
309;4.0;141.0;1.0;3.0
310;4.0;143.0;1.0;3.0
311;4.0;147.0;1.0;3.0
312;4.0;149.0;1.0;3.0
313;4.0;151.0;1.0;3.0
314;4.0;153.0;1.0;3.0
315;4.0;155.0;1.0;3.0
316;4.0;158.0;1.0;3.0
317;4.0;161.0;1.0;3.0
318;4.0;163.0;1.0;3.0
319;4.0;164.0;1.0;3.0
320;4.0;165.0;1.0;3.0
321;4.0;171.0;1.0;4.0
322;4.0;172.0;1.0;4.0
323;4.0;173.0;1.0;4.0
324;4.0;174.0;1.0;4.0
325;4.0;175.0;1.0;4.0
326;4.0;176.0;1.0;4.0
327;4.0;183.0;1.0;4.0
328;4.0;184.0;1.0;4.0
329;4.0;186.0;1.0;4.0
330;4.0;187.0;1.0;4.0
331;4.0;189.0;1.0;4.0
332;4.0;190.0;1.0;4.0
333;4.0;192.0;1.0;4.0
334;4.0;194.0;1.0;4.0
335;4.0;197.0;1.0;4.0
336;4.0;202.0;1.0;4.0
337;4.0;203.0;1.0;4.0
338;4.0;204.0;1.0;4.0
339;4.0;205.0;1.0;4.0
340;4.0;206.0;1.0;4.0
341;4.0;211.0;1.0;5.0
342;4.0;212.0;1.0;5.0
343;4.0;214.0;1.0;5.0
344;4.0;215.0;1.0;5.0
345;4.0;216.0;1.0;5.0
346;4.0;217.0;1.0;5.0
347;4.0;219.0;1.0;5.0
348;4.0;224.0;1.0;5.0
349;4.0;225.0;1.0;5.0
350;4.0;228.0;1.0;5.0
351;4.0;229.0;1.0;5.0
352;4.0;231.0;1.0;5.0
353;4.0;232.0;1.0;5.0
354;4.0;234.0;1.0;5.0
355;4.0;236.0;1.0;5.0
356;4.0;240.0;1.0;5.0
357;4.0;246.0;1.0;5.0
358;4.0;250.0;1.0;6.0
359;4.0;251.0;1.0;6.0
360;4.0;252.0;1.0;6.0
361;4.0;253.0;1.0;6.0
362;4.0;254.0;1.0;6.0
363;4.0;255.0;1.0;6.0
364;4.0;264.0;1.0;6.0
365;4.0;266.0;1.0;6.0
366;4.0;267.0;1.0;6.0
367;4.0;268.0;1.0;6.0
368;4.0;270.0;1.0;6.0
369;4.0;271.0;1.0;6.0
370;4.0;277.0;1.0;6.0
371;4.0;278.0;1.0;6.0
372;4.0;281.0;1.0;6.0
373;4.0;283.0;1.0;6.0
374;4.0;284.0;1.0;6.0
375;4.0;286.0;1.0;6.0
376;5.0;14.0;0.0;0.0
377;5.0;17.0;0.0;0.0
378;5.0;18.0;0.0;0.0
379;5.0;20.0;0.0;0.0
380;5.0;24.0;0.0;0.0
381;5.0;25.0;0.0;0.0
382;5.0;27.0;0.0;0.0
383;5.0;29.0;0.0;0.0
384;5.0;31.0;0.0;0.0
385;5.0;33.0;0.0;0.0
386;5.0;37.0;0.0;0.0
387;5.0;39.0;0.0;0.0
388;5.0;40.0;0.0;0.0
389;5.0;45.0;1.0;1.0
390;5.0;46.0;1.0;1.0
391;5.0;47.0;1.0;1.0
392;5.0;48.0;1.0;1.0
393;5.0;49.0;1.0;1.0
394;5.0;50.0;1.0;1.0
395;5.0;58.0;1.0;1.0
396;5.0;59.0;1.0;1.0
397;5.0;60.0;1.0;1.0
398;5.0;61.0;1.0;1.0
399;5.0;62.0;1.0;1.0
400;5.0;63.0;1.0;1.0
401;5.0;65.0;1.0;1.0
402;5.0;71.0;1.0;1.0
403;5.0;74.0;1.0;1.0
404;5.0;76.0;1.0;1.0
405;5.0;78.0;1.0;1.0
406;5.0;85.0;1.0;2.0
407;5.0;87.0;1.0;2.0
408;5.0;88.0;1.0;2.0
409;5.0;89.0;1.0;2.0
410;5.0;90.0;1.0;2.0
411;5.0;92.0;1.0;2.0
412;5.0;93.0;1.0;2.0
413;5.0;97.0;1.0;2.0
414;5.0;99.0;1.0;2.0
415;5.0;101.0;1.0;2.0
416;5.0;103.0;1.0;2.0
417;5.0;105.0;1.0;2.0
418;5.0;106.0;1.0;2.0
419;5.0;109.0;1.0;2.0
420;5.0;116.0;1.0;2.0
421;5.0;117.0;1.0;2.0
422;5.0;118.0;1.0;2.0
423;5.0;119.0;1.0;2.0
424;5.0;129.0;1.0;3.0
425;5.0;130.0;1.0;3.0
426;5.0;131.0;1.0;3.0
427;5.0;132.0;1.0;3.0
428;5.0;133.0;1.0;3.0
429;5.0;135.0;1.0;3.0
430;5.0;140.0;1.0;3.0
431;5.0;141.0;1.0;3.0
432;5.0;143.0;1.0;3.0
433;5.0;147.0;1.0;3.0
434;5.0;149.0;1.0;3.0
435;5.0;151.0;1.0;3.0
436;5.0;153.0;1.0;3.0
437;5.0;155.0;1.0;3.0
438;5.0;158.0;1.0;3.0
439;5.0;161.0;1.0;3.0
440;5.0;163.0;1.0;3.0
441;5.0;164.0;1.0;3.0
442;5.0;165.0;1.0;3.0
443;5.0;171.0;1.0;4.0
444;5.0;172.0;1.0;4.0
445;5.0;173.0;1.0;4.0
446;5.0;174.0;1.0;4.0
447;5.0;175.0;1.0;4.0
448;5.0;176.0;1.0;4.0
449;5.0;183.0;1.0;4.0
450;5.0;184.0;1.0;4.0
451;5.0;186.0;1.0;4.0
452;5.0;187.0;1.0;4.0
453;5.0;189.0;1.0;4.0
454;5.0;190.0;1.0;4.0
455;5.0;192.0;1.0;4.0
456;5.0;194.0;1.0;4.0
457;5.0;197.0;1.0;4.0
458;5.0;202.0;1.0;4.0
459;5.0;203.0;1.0;4.0
460;5.0;204.0;1.0;4.0
461;5.0;205.0;1.0;4.0
462;5.0;206.0;1.0;4.0
463;5.0;211.0;1.0;5.0
464;5.0;212.0;1.0;5.0
465;5.0;214.0;1.0;5.0
466;5.0;215.0;1.0;5.0
467;5.0;216.0;1.0;5.0
468;5.0;217.0;1.0;5.0
469;5.0;219.0;1.0;5.0
470;5.0;224.0;1.0;5.0
471;5.0;225.0;1.0;5.0
472;5.0;228.0;1.0;5.0
473;5.0;229.0;1.0;5.0
474;5.0;231.0;1.0;5.0
475;5.0;232.0;1.0;5.0
476;5.0;234.0;1.0;5.0
477;5.0;236.0;1.0;5.0
478;5.0;240.0;1.0;5.0
479;5.0;246.0;1.0;5.0
480;5.0;250.0;1.0;6.0
481;5.0;251.0;1.0;6.0
482;5.0;252.0;1.0;6.0
483;5.0;253.0;1.0;6.0
484;5.0;254.0;1.0;6.0
485;5.0;255.0;1.0;6.0
486;5.0;264.0;1.0;6.0
487;5.0;266.0;1.0;6.0
488;5.0;267.0;1.0;6.0
489;5.0;268.0;1.0;6.0
490;5.0;270.0;1.0;6.0
491;5.0;271.0;1.0;6.0
492;5.0;277.0;1.0;6.0
493;5.0;278.0;1.0;6.0
494;5.0;281.0;1.0;6.0
495;5.0;283.0;1.0;6.0
496;5.0;284.0;1.0;6.0
497;5.0;286.0;1.0;6.0
498;6.0;16.0;0.0;0.0
499;7.0;13.0;0.0;0.0
500;8.0;12.0;0.0;0.0
501;8.0;257.0;0.0;6.0
502;9.0;15.0;0.0;0.0
503;9.0;53.0;0.0;1.0
504;9.0;94.0;0.0;2.0
505;9.0;111.0;0.0;2.0
506;9.0;136.0;0.0;3.0
507;9.0;154.0;0.0;3.0
508;9.0;179.0;0.0;4.0
509;9.0;221.0;0.0;5.0
510;9.0;239.0;0.0;5.0
511;9.0;273.0;0.0;6.0
512;9.0;276.0;0.0;6.0
513;10.0;22.0;0.0;0.0
514;11.0;19.0;0.0;0.0
515;11.0;35.0;0.0;0.0
516;11.0;142.0;0.0;3.0
517;11.0;185.0;0.0;4.0
518;12.0;17.0;0.0;0.0
519;12.0;18.0;0.0;0.0
520;12.0;20.0;0.0;0.0
521;12.0;24.0;0.0;0.0
522;12.0;25.0;0.0;0.0
523;12.0;27.0;0.0;0.0
524;12.0;29.0;0.0;0.0
525;12.0;31.0;0.0;0.0
526;12.0;33.0;0.0;0.0
527;12.0;37.0;0.0;0.0
528;12.0;39.0;0.0;0.0
529;12.0;40.0;0.0;0.0
530;12.0;45.0;1.0;1.0
531;12.0;46.0;1.0;1.0
532;12.0;47.0;1.0;1.0
533;12.0;48.0;1.0;1.0
534;12.0;49.0;1.0;1.0
535;12.0;50.0;1.0;1.0
536;12.0;58.0;1.0;1.0
537;12.0;59.0;1.0;1.0
538;12.0;60.0;1.0;1.0
539;12.0;61.0;1.0;1.0
540;12.0;62.0;1.0;1.0
541;12.0;63.0;1.0;1.0
542;12.0;65.0;1.0;1.0
543;12.0;71.0;1.0;1.0
544;12.0;74.0;1.0;1.0
545;12.0;76.0;1.0;1.0
546;12.0;78.0;1.0;1.0
547;12.0;85.0;1.0;2.0
548;12.0;87.0;1.0;2.0
549;12.0;88.0;1.0;2.0
550;12.0;89.0;1.0;2.0
551;12.0;90.0;1.0;2.0
552;12.0;92.0;1.0;2.0
553;12.0;93.0;1.0;2.0
554;12.0;97.0;1.0;2.0
555;12.0;99.0;1.0;2.0
556;12.0;101.0;1.0;2.0
557;12.0;103.0;1.0;2.0
558;12.0;105.0;1.0;2.0
559;12.0;106.0;1.0;2.0
560;12.0;109.0;1.0;2.0
561;12.0;116.0;1.0;2.0
562;12.0;117.0;1.0;2.0
563;12.0;118.0;1.0;2.0
564;12.0;119.0;1.0;2.0
565;12.0;129.0;1.0;3.0
566;12.0;130.0;1.0;3.0
567;12.0;131.0;1.0;3.0
568;12.0;132.0;1.0;3.0
569;12.0;133.0;1.0;3.0
570;12.0;135.0;1.0;3.0
571;12.0;140.0;1.0;3.0
572;12.0;141.0;1.0;3.0
573;12.0;143.0;1.0;3.0
574;12.0;147.0;1.0;3.0
575;12.0;149.0;1.0;3.0
576;12.0;151.0;1.0;3.0
577;12.0;153.0;1.0;3.0
578;12.0;155.0;1.0;3.0
579;12.0;158.0;1.0;3.0
580;12.0;161.0;1.0;3.0
581;12.0;163.0;1.0;3.0
582;12.0;164.0;1.0;3.0
583;12.0;165.0;1.0;3.0
584;12.0;171.0;1.0;4.0
585;12.0;172.0;1.0;4.0
586;12.0;173.0;1.0;4.0
587;12.0;174.0;1.0;4.0
588;12.0;175.0;1.0;4.0
589;12.0;176.0;1.0;4.0
590;12.0;183.0;1.0;4.0
591;12.0;184.0;1.0;4.0
592;12.0;186.0;1.0;4.0
593;12.0;187.0;1.0;4.0
594;12.0;189.0;1.0;4.0
595;12.0;190.0;1.0;4.0
596;12.0;192.0;1.0;4.0
597;12.0;194.0;1.0;4.0
598;12.0;197.0;1.0;4.0
599;12.0;202.0;1.0;4.0
600;12.0;203.0;1.0;4.0
601;12.0;204.0;1.0;4.0
602;12.0;205.0;1.0;4.0
603;12.0;206.0;1.0;4.0
604;12.0;211.0;1.0;5.0
605;12.0;212.0;1.0;5.0
606;12.0;214.0;1.0;5.0
607;12.0;215.0;1.0;5.0
608;12.0;216.0;1.0;5.0
609;12.0;217.0;1.0;5.0
610;12.0;219.0;1.0;5.0
611;12.0;224.0;1.0;5.0
612;12.0;225.0;1.0;5.0
613;12.0;228.0;1.0;5.0
614;12.0;229.0;1.0;5.0
615;12.0;231.0;1.0;5.0
616;12.0;232.0;1.0;5.0
617;12.0;234.0;1.0;5.0
618;12.0;236.0;1.0;5.0
619;12.0;240.0;1.0;5.0
620;12.0;246.0;1.0;5.0
621;12.0;250.0;1.0;6.0
622;12.0;251.0;1.0;6.0
623;12.0;252.0;1.0;6.0
624;12.0;253.0;1.0;6.0
625;12.0;254.0;1.0;6.0
626;12.0;255.0;1.0;6.0
627;12.0;264.0;1.0;6.0
628;12.0;266.0;1.0;6.0
629;12.0;267.0;1.0;6.0
630;12.0;268.0;1.0;6.0
631;12.0;270.0;1.0;6.0
632;12.0;271.0;1.0;6.0
633;12.0;277.0;1.0;6.0
634;12.0;278.0;1.0;6.0
635;12.0;281.0;1.0;6.0
636;12.0;283.0;1.0;6.0
637;12.0;284.0;1.0;6.0
638;12.0;286.0;1.0;6.0
639;13.0;17.0;0.0;0.0
640;13.0;18.0;0.0;0.0
641;13.0;20.0;0.0;0.0
642;13.0;24.0;0.0;0.0
643;13.0;25.0;0.0;0.0
644;13.0;27.0;0.0;0.0
645;13.0;29.0;0.0;0.0
646;13.0;31.0;0.0;0.0
647;13.0;33.0;0.0;0.0
648;13.0;37.0;0.0;0.0
649;13.0;39.0;0.0;0.0
650;13.0;40.0;0.0;0.0
651;13.0;45.0;1.0;1.0
652;13.0;46.0;1.0;1.0
653;13.0;47.0;1.0;1.0
654;13.0;48.0;1.0;1.0
655;13.0;49.0;1.0;1.0
656;13.0;50.0;1.0;1.0
657;13.0;58.0;1.0;1.0
658;13.0;59.0;1.0;1.0
659;13.0;60.0;1.0;1.0
660;13.0;61.0;1.0;1.0
661;13.0;62.0;1.0;1.0
662;13.0;63.0;1.0;1.0
663;13.0;65.0;1.0;1.0
664;13.0;71.0;1.0;1.0
665;13.0;74.0;1.0;1.0
666;13.0;76.0;1.0;1.0
667;13.0;78.0;1.0;1.0
668;13.0;85.0;1.0;2.0
669;13.0;87.0;1.0;2.0
670;13.0;88.0;1.0;2.0
671;13.0;89.0;1.0;2.0
672;13.0;90.0;1.0;2.0
673;13.0;92.0;1.0;2.0
674;13.0;93.0;1.0;2.0
675;13.0;97.0;1.0;2.0
676;13.0;99.0;1.0;2.0
677;13.0;101.0;1.0;2.0
678;13.0;103.0;1.0;2.0
679;13.0;105.0;1.0;2.0
680;13.0;106.0;1.0;2.0
681;13.0;109.0;1.0;2.0
682;13.0;116.0;1.0;2.0
683;13.0;117.0;1.0;2.0
684;13.0;118.0;1.0;2.0
685;13.0;119.0;1.0;2.0
686;13.0;129.0;1.0;3.0
687;13.0;130.0;1.0;3.0
688;13.0;131.0;1.0;3.0
689;13.0;132.0;1.0;3.0
690;13.0;133.0;1.0;3.0
691;13.0;135.0;1.0;3.0
692;13.0;140.0;1.0;3.0
693;13.0;141.0;1.0;3.0
694;13.0;143.0;1.0;3.0
695;13.0;147.0;1.0;3.0
696;13.0;149.0;1.0;3.0
697;13.0;151.0;1.0;3.0
698;13.0;153.0;1.0;3.0
699;13.0;155.0;1.0;3.0
700;13.0;158.0;1.0;3.0
701;13.0;161.0;1.0;3.0
702;13.0;163.0;1.0;3.0
703;13.0;164.0;1.0;3.0
704;13.0;165.0;1.0;3.0
705;13.0;171.0;1.0;4.0
706;13.0;172.0;1.0;4.0
707;13.0;173.0;1.0;4.0
708;13.0;174.0;1.0;4.0
709;13.0;175.0;1.0;4.0
710;13.0;176.0;1.0;4.0
711;13.0;183.0;1.0;4.0
712;13.0;184.0;1.0;4.0
713;13.0;186.0;1.0;4.0
714;13.0;187.0;1.0;4.0
715;13.0;189.0;1.0;4.0
716;13.0;190.0;1.0;4.0
717;13.0;192.0;1.0;4.0
718;13.0;194.0;1.0;4.0
719;13.0;197.0;1.0;4.0
720;13.0;202.0;1.0;4.0
721;13.0;203.0;1.0;4.0
722;13.0;204.0;1.0;4.0
723;13.0;205.0;1.0;4.0
724;13.0;206.0;1.0;4.0
725;13.0;211.0;1.0;5.0
726;13.0;212.0;1.0;5.0
727;13.0;214.0;1.0;5.0
728;13.0;215.0;1.0;5.0
729;13.0;216.0;1.0;5.0
730;13.0;217.0;1.0;5.0
731;13.0;219.0;1.0;5.0
732;13.0;224.0;1.0;5.0
733;13.0;225.0;1.0;5.0
734;13.0;228.0;1.0;5.0
735;13.0;229.0;1.0;5.0
736;13.0;231.0;1.0;5.0
737;13.0;232.0;1.0;5.0
738;13.0;234.0;1.0;5.0
739;13.0;236.0;1.0;5.0
740;13.0;240.0;1.0;5.0
741;13.0;246.0;1.0;5.0
742;13.0;250.0;1.0;6.0
743;13.0;251.0;1.0;6.0
744;13.0;252.0;1.0;6.0
745;13.0;253.0;1.0;6.0
746;13.0;254.0;1.0;6.0
747;13.0;255.0;1.0;6.0
748;13.0;264.0;1.0;6.0
749;13.0;266.0;1.0;6.0
750;13.0;267.0;1.0;6.0
751;13.0;268.0;1.0;6.0
752;13.0;270.0;1.0;6.0
753;13.0;271.0;1.0;6.0
754;13.0;277.0;1.0;6.0
755;13.0;278.0;1.0;6.0
756;13.0;281.0;1.0;6.0
757;13.0;283.0;1.0;6.0
758;13.0;284.0;1.0;6.0
759;13.0;286.0;1.0;6.0
760;14.0;21.0;0.0;0.0
761;14.0;86.0;0.0;2.0
762;14.0;100.0;0.0;2.0
763;14.0;128.0;0.0;3.0
764;14.0;213.0;0.0;5.0
765;14.0;227.0;0.0;5.0
766;15.0;17.0;0.0;0.0
767;15.0;18.0;0.0;0.0
768;15.0;20.0;0.0;0.0
769;15.0;24.0;0.0;0.0
770;15.0;25.0;0.0;0.0
771;15.0;27.0;0.0;0.0
772;15.0;29.0;0.0;0.0
773;15.0;31.0;0.0;0.0
774;15.0;33.0;0.0;0.0
775;15.0;37.0;0.0;0.0
776;15.0;39.0;0.0;0.0
